"Date","Price","Open","High","Low","Vol.","Change %"
"02/02/2024","75,200","74,000","75,200","73,700","14.85M","2.17%"
"02/01/2024","73,600","73,000","74,200","72,900","0.09K","1.24%"
"01/31/2024","72,700","73,500","74,000","72,500","4.69K","-2.15%"
"01/30/2024","74,300","75,000","75,300","73,700","1.26K","-0.13%"
"01/29/2024","74,400","73,800","75,200","73,500","0.02K","1.36%"
"01/28/2024","73,400","73,400","73,400","73,400","","0.00%"
"01/26/2024","73,400","73,700","74,500","73,300","10.98M","-0.94%"
"01/25/2024","74,100","74,300","74,800","73,700","2.73K","0.14%"
"01/24/2024","74,000","75,200","75,200","73,500","12.69M","-1.60%"
"01/23/2024","75,200","75,700","75,800","74,300","0.42K","0.13%"
"01/22/2024","75,100","75,900","76,000","75,000","19.62M","0.54%"
"01/21/2024","74,700","74,700","74,700","74,700","","0.00%"
"01/19/2024","74,700","73,500","74,700","73,000","23.20M","4.18%"
"01/18/2024","71,700","71,600","72,000","70,700","0.03K","0.99%"
"01/17/2024","71,000","73,100","73,300","71,000","1.11K","-2.20%"
"01/16/2024","72,600","73,500","73,700","72,500","11.96K","-1.76%"
"01/15/2024","73,900","73,200","74,000","73,200","12.97M","1.09%"
"01/14/2024","73,100","73,100","73,100","73,100","","0.00%"
"01/12/2024","73,100","73,000","74,100","72,800","12.97M","-0.14%"
"01/11/2024","73,200","73,000","73,600","72,800","2.26K","-0.54%"
"01/10/2024","73,600","74,900","75,200","73,200","3.95K","-1.47%"
"01/09/2024","74,700","77,400","77,700","74,300","3.26K","-2.35%"
"01/08/2024","76,500","76,900","77,500","76,400","0.44K","-0.13%"
"01/07/2024","76,600","76,600","76,600","76,600","","0.00%"
"01/05/2024","76,600","76,700","77,100","76,400","11.20M","0.00%"
"01/04/2024","76,600","76,400","77,300","76,200","0.18K","-0.52%"
"01/03/2024","77,000","78,600","78,700","77,000","1.27K","-3.27%"
"01/02/2024","79,600","78,500","79,800","78,200","2.09K","1.40%"
"12/28/2023","78,500","77,700","78,500","77,500","17.73M","0.64%"
"12/27/2023","78,000","76,700","78,000","76,500","3.52K","1.83%"
"12/26/2023","76,600","76,000","76,700","75,700","3.45K","0.92%"
"12/25/2023","75,900","75,900","75,900","75,900","","0.00%"
"12/22/2023","75,900","75,800","76,300","75,400","14.48M","1.20%"
"12/21/2023","75,000","74,500","75,000","74,300","0.44K","0.27%"
"12/20/2023","74,800","74,200","74,900","73,800","1.18K","1.91%"
"12/19/2023","73,400","72,900","73,400","72,800","0.27K","0.69%"
"12/18/2023","72,900","73,300","73,400","72,800","0.65K","-0.55%"
"12/17/2023","73,300","73,300","73,300","73,300","","0.00%"
"12/15/2023","73,300","73,800","74,000","73,200","14.89M","0.27%"
"12/14/2023","73,100","74,100","74,300","72,500","1.07K","0.41%"
"12/13/2023","72,800","73,400","73,500","72,800","0.32K","-0.95%"
"12/12/2023","73,500","73,300","73,500","73,100","0.86K","0.68%"
"12/11/2023","73,000","72,900","73,000","72,200","0.98K","0.55%"
"12/10/2023","72,600","72,600","72,600","72,600","","0.00%"
"12/08/2023","72,600","72,100","72,800","71,900","10.12M","1.54%"
"12/07/2023","71,500","71,800","71,900","71,100","0.06K","-0.28%"
"12/06/2023","71,700","71,900","72,100","71,600","0.25K","0.70%"
"12/05/2023","71,200","72,300","72,400","71,200","0.45K","-1.93%"
"12/04/2023","72,600","72,700","72,900","72,500","0.55K","0.83%"
"12/03/2023","72,000","72,000","72,000","72,000","","0.00%"
"12/01/2023","72,000","72,400","72,500","71,700","9.78M","-1.10%"
"11/30/2023","72,800","72,600","72,800","72,200","1.92K","0.14%"
"11/29/2023","72,700","72,400","72,800","72,200","8.91M","0.00%"
"11/28/2023","72,700","71,400","72,700","71,300","13.27M","1.96%"
"11/27/2023","71,300","71,800","72,100","71,100","0.55K","-0.56%"
"11/26/2023","71,700","71,700","71,700","71,700","","0.00%"
"11/24/2023","71,700","72,400","72,600","71,700","6.39M","-0.97%"
"11/23/2023","72,400","72,900","73,200","72,200","1.08K","-0.55%"
"11/22/2023","72,800","72,200","73,000","71,900","0.77K","0.00%"
"11/21/2023","72,800","73,100","73,400","72,700","0.97K","0.14%"
"11/20/2023","72,700","72,100","73,000","72,100","10.58M","0.28%"
"11/19/2023","72,500","72,500","72,500","72,500","","0.00%"
"11/17/2023","72,500","72,300","73,000","72,300","10.85M","-0.41%"
"11/16/2023","72,800","72,500","73,000","72,300","14.55M","0.83%"
"11/15/2023","72,200","71,600","72,200","71,500","20.06M","1.98%"
